Game,Winner Move,LLM Move,Correct
1,Rg5#,Rg5#,True
2,Qxe7#,Qxe7#,True
3,Bf6#,Rg8#,False
4,Qxf1#,Qxf1#,True
5,Rh5#,Rh5#,True
6,Rf8#,Rf8#,True
7,Qg2#,Qh1#,False
8,Qxg2#,Qxg2#,True
9,Re8#,Re8#,True
10,Rxg2#,Rxg2#,True
11,Rd8#,Rd8#,True
12,Qd8#,Qd8#,True
13,Re4#,Rb4#,False
14,Be4#,Rd1#,False
15,Ra5#,Qa5#,False
16,Qh1#,Qh1#,True
17,Qh8#,Qh8#,True
18,Qxh7#,Qxh7#,True
19,Qxg2#,Qxg2#,True
20,Rh6#,Rh6#,True
21,Rh8#,Rh8#,True
22,Bxg2#,Qh3#,False
23,Ra5#,Ra5#,True
24,Qg7#,Qg7#,True
25,Qg5#,Qg5#,True
26,Rd8#,Rd8#,True
27,Rxh3#,Rxh3#,True
28,Qf7#,Qh5#,False
29,Rh7#,Rh7#,True
30,Qxb7#,Qxb7#,True
31,Rd1#,Rd1#,True
32,Qxe7#,Qxe7#,True
33,Re8#,Re8#,True
34,Rd8#,Qe8#,False
35,Rc8#,R7c3#,False
36,Rb1#,Rb1#,True
37,Qh8#,Qh8#,True
38,Qxf2#,Qxf2#,True
39,Ra3#,Ra3#,True
40,Rxd1#,Qh1#,False
41,Qxd8#,Qxd8#,True
42,Qd1#,Qd1#,True
43,R1d7#,R1d7#,True
44,Rh1#,Rh1#,True
45,Qxg2#,Qxg2#,True
46,Bxg5#,Qxh7#,False
47,Qxg3#,Qxg3#,True
48,Qxg7#,Qf7#,False
49,Rb1#,Rb1#,True
50,Qg4#,Qg4#,True
51,Qxg2#,Qxg2#,True
52,Qxh2#,Qh6#,False
53,Qd8#,Qd8#,True
54,Qg2#,Qg2#,True
55,Bxf4#,Bxf4#,True
56,Bxf2#,Qf6#,False
57,Rd7#,Rd1#,False
58,Qxe2#,Qxe2#,True
59,Rd7#,Rd7#,True
60,Rxe7#,Qh6#,False
61,Bxe3#,Qh6#,False
62,Qh4#,Qh4#,True
63,Rb1#,Rb1#,True
64,Qxg2#,Qxg2#,True
65,Rd1#,Rd1#,True
66,Be5#,Qg1#,False
67,Qc4#,Qc4#,True
68,Qxg6#,Qxg6#,True
69,Qxg7#,Qxg7#,True
70,Qxg2#,Qxg2#,True
71,Qh5#,Qh5#,True
72,Nf3#,Qh1#,False
73,Qfc1#,Qfc1#,True
74,Qf8#,Qf8#,True
75,Rg1#,Rg1#,True
76,Qxh1#,Qxh1#,True
77,Bd3#,Bd3#,True
78,Qxf2#,Qh1#,False
79,Qc3#,Qc3#,True
80,Qg7#,Qg7#,True
81,Qd7#,Qd7#,True
82,Qxc8#,Qxc8#,True
83,Qg4#,Qg4#,True
84,Qg1#,Qg1#,True
85,Ra1#,Ra1#,True
86,Qxc7#,Qxc7#,True
87,Qxf3#,Qh1#,False
88,Nxb6#,Qa8#,False
89,Qg7#,Qh7#,False
90,Qc2#,Qc2#,True
91,Qe4#,Qe4#,True
92,Qg2#,Qg2#,True
93,Bh3#,Rf3#,False
94,Ba3#,Ba3#,True
95,Qxh2#,Qh6#,False
96,Rh1#,Qh4#,False
97,Bg7#,Qc8#,False
98,Qf8#,Qf8#,True
99,Qxg2#,Qxg2#,True
100,Qxh6#,Qxh6#,True
101,Rxh5#,Qh6#,False
102,Rxf8#,Qh7#,False
103,Qxh8#,Qxh8#,True
104,Qh7#,Qh7#,True
105,Ra1#,Ra1#,True
106,Qb4#,Qb4#,True
107,Rh8#,Rh8#,True
108,Rh1#,Rh8#,False
109,Qe4#,Qe4#,True
110,Qxg7#,Qh4#,False
111,Qxc2#,Qc2#,False
112,Qxg7#,Qxh6#,False
113,Rxe1#,Rxe1#,True
114,Qxf2#,Qxf2#,True
115,Qa6#,Qa6#,True
116,Qxd6#,Qxd6#,True
117,Qxg2#,Qxg2#,True
118,Qh7#,Qh7#,True
119,Rh1#,Rh1#,True
120,Qg7#,Qg7#,True
121,Qg7#,Qg7#,True
122,Qxf7#,Qg8#,False
123,Rh7#,Rh7#,True
124,Qxg7#,Qxg7#,True
125,Qxg7#,Qxg7#,True
126,Bf7#,Qh3#,False
127,Qa8#,Qa8#,True
128,Qxf1#,Qxf1#,True
129,Qf3#,Qf3#,True
130,Qg7#,Qg7#,True
131,Qxb7#,Qxb7#,True
132,Ra4#,Ra4#,True
133,Qb2#,Qb2#,True
134,Qe8#,Qe8#,True
135,Qb2#,Qb2#,True
136,Qc8#,Qc8#,True
137,Qxh7#,Qxh7#,True
138,Qbe4#,,False
139,Rh6#,Qh3#,False
140,Rh3#,Rh3#,True
141,Rf2#,Rf2#,True
142,Ra5#,Ra5#,True
143,Qd8#,Qd8#,True
144,Qxa2#,Qxa2#,True
145,Ra1#,Ra2#,False
146,Rg7#,Qh7#,False
147,Qg7#,Qg7#,True
148,Rxh5#,Qe4#,False
149,Qxg7#,Qxg7#,True
