Game,Winner,Color,Number of Moves,Game Duration
1,Stockfish,White,66,27.21
2,Stockfish,White,37,18.46
3,Stockfish,White,23,16.93
4,Stockfish,White,21,16.34
5,Stockfish,White,32,13.53
6,Stockfish,White,18,14.25
7,Stockfish,White,17,9.06
8,Stockfish,White,37,26.19
9,Stockfish,White,30,15.29
10,Stockfish,White,32,16.06
11,Stockfish,Black,52,35.69
12,Stockfish,Black,35,19.51
13,Stockfish,Black,50,20.85
14,Stockfish,Black,24,19.64
15,Stockfish,Black,38,17.09
16,Stockfish,Black,17,13.61
17,Stockfish,Black,52,22.74
18,Stockfish,Black,19,9.53
19,Stockfish,Black,15,11.78
20,Stockfish,Black,45,23.81
